LOT_SQFT,YR_BUILT,GROSS_AREA,LIVING_AREA,FLOORS,ROOMS,BEDROOMS,FULL_BATH,HALF_BATH,KITCHEN,FIREPLACE,REMODEL_None,REMODEL_Recent,TOTAL_VALUE
6111,1964,2262,1740,1,7,3,1,1,1,1,1,0,335.8
20000,1900,1754,845,1.5,6,3,1,0,1,0,1,0,345
5967,1942,3442,1836,2,8,3,2,0,1,0,0,0,356.4
7940,1900,3894,2436,2,8,4,2,0,1,1,1,0,379
6003,1987,2178,1350,2,7,3,2,0,1,0,1,0,352.1
7000,1997,2628,1680,2,6,3,2,1,1,0,1,0,437.3
5488,1940,3780,1992,1.5,8,4,2,1,1,1,0,1,404.2
4774,1940,3128,1470,1,5,2,1,0,1,1,1,0,283.4
6029,1940,2620,1265,1.5,6,3,1,1,1,0,1,0,326.4
5057,1948,2244,1224,1.5,7,3,2,0,1,0,1,0,309.2
5682,1940,2484,1488,2,7,3,1,1,1,0,1,0,332.9
3819,1930,2468,1299,1.5,6,3,1,0,1,0,1,0,260.4
5651,1940,2454,1306,1.5,6,3,2,1,1,1,0,1,339.3
5005,1928,2078,1369,2,6,3,1,0,1,0,0,0,307.9
8145,1940,2664,1546,1.5,6,3,1,0,1,1,0,1,346.3
9642,1999,2952,1872,2,7,4,2,1,1,1,1,0,479.1
6475,1946,2684,1265,1.5,6,3,1,1,1,0,1,0,335.6
4175,1940,1536,768,1,4,2,1,0,1,0,1,0,261.5
5400,1940,2650,1224,1.5,7,3,2,0,1,1,0,1,355.1
5005,1996,2660,1680,2,6,3,2,1,1,1,1,0,356.8
3288,1955,2764,1503,1.5,7,3,2,1,1,1,1,0,287.3
5400,1940,2536,1224,1.5,6,3,1,0,1,1,1,0,331.9
8238,1968,3972,1922,1,9,4,2,0,1,1,1,0,387.1
5092,1945,2539,1306,1.5,6,3,2,0,1,0,0,0,307.6
5400,1950,2508,1440,2,6,3,3,0,1,0,0,1,360.9
8970,1999,2952,1872,2,7,4,2,1,1,1,1,0,466.1
5400,1940,2714,1376,1.5,6,3,1,0,1,1,0,1,340
8200,1934,2608,1304,1,6,2,2,0,1,1,0,1,303.9
4200,1960,2670,1710,2,10,4,1,1,1,1,1,0,303.5
6444,1940,2886,1474,1.5,6,3,1,1,1,1,1,0,301.4
5035,1925,3264,1523,1,6,2,1,0,1,0,0,1,339.9
3960,1955,2590,1630,2,8,4,2,1,1,1,1,0,281.3
6227,1999,4013,2359,2,8,4,2,1,1,0,1,0,530.1
3150,1955,2456,1620,2,7,4,1,1,1,1,0,0,310.4
8151,1983,4532,2056,1,5,2,1,2,1,1,1,0,344.6
6257,2001,4124,2494,2,9,4,2,0,1,1,1,0,525.1
5024,1940,2556,1306,1.5,6,3,2,0,1,0,1,0,285.3
4200,1930,2272,1352,2,8,3,1,0,1,1,0,1,302.3
3150,1962,2496,1420,1.5,4,2,1,0,1,1,1,0,243.3
6012,1910,3185,1911,2,7,3,1,1,1,0,1,0,334.9
5968,1910,3216,1839,2,7,3,1,1,1,0,1,0,327.5
8890,2001,4791,2774,2,9,4,3,1,1,1,1,0,586.6
7355,1920,3516,1980,2,7,3,1,1,1,0,1,0,347.3
5077,1956,876,876,1,5,2,1,0,1,0,1,0,267.6
3617,1955,2784,1435,1.5,5,2,1,1,1,1,1,0,274.2
6253,1959,3077,1989,1,6,4,3,0,1,1,0,1,404.6
6300,1960,1730,1625,1,7,4,1,1,1,1,1,0,339.9
7861,1967,4182,2888,1,12,4,2,1,1,0,1,0,420.8
4200,1930,2488,1484,2,6,3,1,1,1,0,1,0,283.5
6255,2001,6016,3446,2,10,4,3,1,1,2,1,0,620.3
4050,1940,2756,1150,1,6,3,1,1,1,1,0,1,346.3
5131,1945,1840,1486,1.5,6,4,2,0,1,0,0,0,295.07
3628,1962,2736,1680,2,7,3,1,1,1,1,1,0,297.6
6001,1969,2124,2074,1,10,4,2,0,2,2,1,0,310.7
4800,1999,3960,2282,2,6,3,2,1,1,1,1,0,442.6
4050,1945,2108,1014,1,6,3,1,1,1,1,1,0,277.5
3639,1955,2784,1421,1.5,7,3,1,1,1,1,0,0,310.6
6754,1960,2705,1340,1,6,3,1,0,1,1,1,0,327.1
2100,1989,2244,1400,2,6,3,1,1,1,1,1,0,307.5
4200,1955,2508,1120,1,6,3,1,1,1,1,1,0,243.3
6001,1965,1964,1826,1,8,3,1,1,1,1,0,1,352.8
5460,1950,2188,1080,1,6,2,1,0,1,1,1,0,258.6
4050,1960,2592,1387,1.5,6,3,1,1,1,1,1,0,295.5
6011,1999,4368,2483,2,9,3,2,1,1,1,1,0,490.7
6317,1969,2385,1440,2,6,3,1,1,1,0,1,0,330.3
6850,1958,2568,1414,1.5,6,2,1,1,1,1,1,0,290.8
9600,1950,4063,1636,1,9,3,2,0,2,0,1,0,350.7
6000,1965,2098,1696,1,7,5,1,1,1,2,1,0,301.1
6400,1974,2161,1633,1,8,4,2,0,1,1,0,0,278.7
5824,1945,2696,1120,1,6,3,1,0,1,0,1,0,298.2
4200,1950,1976,988,1,5,2,1,0,1,1,1,0,249
6000,1965,2347,1781,1,8,4,1,1,1,0,1,0,287.5
13267,1960,3813,1931,1.5,6,2,1,1,1,1,0,1,434.3
3911,2004,3836,2416,2,7,4,3,1,1,1,1,0,508.8
10537,1910,2100,1380,2,7,3,1,1,1,1,1,0,338.8
7468,1972,2815,2035,2,10,4,2,1,1,0,0,1,363.5
6400,1974,3404,2612,1,7,4,1,1,1,1,0,0,335.3
12600,1955,2910,1347,1,6,3,1,1,1,1,1,0,353.5
6000,1971,2080,2028,1,8,4,1,1,1,0,1,0,291.5
4900,1970,2835,1659,2,8,4,2,0,1,1,1,0,325.8
7200,1900,3223,1669,2,7,3,1,1,1,0,0,1,368.2
6000,1978,2530,1590,2,7,4,2,0,1,0,1,0,361.7
6000,1965,2296,1781,1,8,4,1,1,1,0,1,0,286.3
6400,1965,2198,1633,1,8,3,1,1,1,1,0,0,315.7
7770,1950,1800,900,1,5,2,1,0,1,1,1,0,282.4
5914,1925,2594,1131,1,6,3,1,0,1,0,1,0,337.5
5290,1950,2800,1824,2,7,4,2,0,1,0,0,1,320.1
2800,1920,2663,1430,2,6,3,1,1,1,0,1,0,272.9
4868,1950,1628,800,1,5,2,1,0,1,1,1,0,243.2
7448,1984,2358,1306,1.5,8,3,2,0,1,1,1,0,305
2800,1955,2324,1306,1.5,7,3,2,0,1,1,1,0,277.7
4449,1910,2302,1208,1.5,6,3,1,2,1,0,0,1,316.9
6000,1971,2456,1997,1,7,3,1,1,1,0,1,0,297.1
4800,2003,3924,2206,2,9,4,2,2,1,1,1,0,467
7440,1950,2040,900,1,6,3,1,0,1,0,1,0,302.4
4200,1955,2507,1403,1.5,6,2,2,0,1,1,1,0,253.2
6000,1978,2370,1590,2,7,4,2,1,1,0,1,0,375.1
4151,1920,2068,1248,2,7,3,1,0,1,0,1,0,242.9
6000,1965,2308,2009,1,9,3,2,0,1,0,1,0,307.1
6781,1956,2064,1000,1,5,2,1,0,1,1,1,0,274.1
3200,1911,1292,1020,2,6,3,1,0,1,0,0,0,237
6300,1964,2507,1155,1,6,3,1,0,1,1,1,0,253
6081,1960,2212,1082,1,5,3,1,1,1,1,1,0,299.4
7912,1955,1848,864,1,6,3,1,0,1,1,1,0,286.9
6000,1980,2466,1590,2,7,3,1,1,1,0,1,0,327.5
4895,1989,2728,1800,2,7,4,2,1,1,1,1,0,367.5
5160,1920,2658,1452,2,7,3,2,0,1,0,1,0,308
6000,2005,4623,2597,2,11,4,2,1,1,1,1,0,516.7
7000,1986,2467,1954,1,9,4,2,0,1,1,1,0,348.7
6750,1956,2216,1216,1,8,3,2,0,2,1,1,0,367.1
3900,1920,3475,1754,2,7,3,2,1,1,0,0,0,299.4
7416,1960,2164,1082,1,6,2,1,1,1,0,1,0,296.5
4544,1989,2704,1800,2,6,3,2,1,1,1,1,0,360
3500,1960,2632,1632,2,6,3,2,0,1,1,0,0,325.9
6000,1978,2466,1590,2,7,4,1,1,1,0,0,0,360.8
3200,1965,2120,1410,2,7,3,1,1,1,1,0,0,283
2295,2002,2718,1728,2,7,3,2,1,1,1,1,0,368
7442,1950,2438,1204,1,6,3,1,0,1,1,1,0,297.8
2800,1955,2364,1306,1.5,7,3,1,0,1,0,1,0,239.9
6548,1960,2164,1082,1,5,2,1,0,1,1,1,0,293.7
6000,1993,2991,1680,2,6,3,1,1,1,1,1,0,412.4
7300,1978,2524,1590,2,7,4,1,1,1,0,1,0,382
4294,1965,2295,1470,2,7,3,1,1,1,1,1,0,275
8001,1925,3228,1408,1,5,2,1,0,1,0,1,0,318.2
6089,1960,2180,1082,1,5,3,1,0,1,0,1,0,266.3
4392,1914,2773,1568,2,7,3,1,0,1,0,1,0,282.2
5950,1962,2448,2293,1,8,3,1,1,2,0,1,0,325.2
6750,1956,2060,960,1,6,3,1,0,1,1,1,0,287.8
6000,1926,2936,1650,2,8,3,2,0,1,0,1,0,354.2
4335,1965,2087,1326,2,7,3,1,1,1,1,0,0,289.5
4300,1920,1926,960,1,5,2,1,0,1,1,1,0,186.3
7287,1999,2892,1800,2,6,3,2,0,1,0,1,0,398.1
4824,1916,1795,933,1.5,7,3,2,0,1,0,1,0,283.5
5095,1960,2184,1082,1,5,3,1,0,1,1,1,0,254.5
6000,1940,1904,1228,2,6,3,1,1,1,0,1,0,303.9
2100,1900,1800,972,1.5,6,3,1,1,1,0,0,1,262.1
7258,1950,1992,900,1,5,2,1,0,1,1,1,0,273.1
4281,1929,2047,900,1,5,2,1,0,1,0,1,0,210.9
4416,1925,2413,1083,1,8,3,1,1,1,1,1,0,272.4
6026,1960,2376,1487,1,9,3,1,1,1,0,1,0,279.6
5300,1963,2616,1966,1,8,3,1,1,1,0,1,0,348.9
6750,1950,2710,1305,1.5,6,3,1,1,1,1,1,0,325.2
2100,1900,2414,1544,2.5,6,3,1,0,1,0,0,1,323
6730,1963,2926,1871,2,7,3,2,1,1,0,0,0,337.3
1616,1920,1439,856,2,5,2,1,0,1,0,1,0,182.7
5144,1963,2732,1539,1.5,6,3,1,1,1,0,1,0,285.8
4200,1900,2962,1744,2,6,3,1,0,1,0,1,0,259
5307,1960,2232,1726,1,8,4,1,1,2,0,1,0,331.1
5663,1965,2212,1320,2,7,3,1,1,1,0,1,0,329.2
3420,1918,2107,1310,2,6,3,1,0,1,0,1,0,239.3
6073,1951,1928,900,1,5,2,1,0,1,1,1,0,272
2968,1920,2027,938,1.5,5,2,1,0,1,0,1,0,207.9
6750,1950,2216,1000,1,5,2,1,1,1,1,1,0,294.4
6099,1960,2638,2156,1,6,3,2,0,1,0,1,0,312.5
8056,2001,3156,1976,2,8,4,2,1,1,1,1,0,401.7
3150,1900,2342,1467,2,7,4,1,1,1,0,1,0,288.5
6291,1960,2126,1380,2,6,3,1,1,1,0,1,0,305.4
4200,1915,2697,1552,2,7,3,1,0,1,0,1,0,283.9
5507,1960,2592,1469,1.5,7,2,2,0,1,0,1,0,272.2
5769,1960,2136,1487,1,6,2,1,1,1,0,1,0,271.3
6444,1957,2808,1469,1.5,6,2,2,0,1,0,1,0,300.2
6720,1960,2492,1246,1,6,3,1,0,1,1,1,0,279.8
24677,1960,6100,2601,1.5,8,5,3,0,1,0,0,1,509.4
7133,1950,2408,1008,1,6,3,1,0,1,1,1,0,298.9
3850,1910,2235,1276,2,8,3,1,1,1,0,0,0,325
6750,1950,2526,1200,1,7,3,1,0,1,1,0,1,356
3360,1920,2119,1105,1.5,6,2,1,1,1,0,1,0,241.3
7109,1960,2239,1380,2,8,3,1,1,1,0,1,0,314.3
6327,2001,3156,1976,2,7,4,2,1,1,1,1,0,366.3
5643,1960,3048,1896,2,8,4,1,1,1,0,1,0,323.1
6044,1957,2634,1469,1.5,5,2,1,0,1,0,1,0,286.9
7408,1950,2459,984,1,5,2,1,1,1,1,1,0,293.2
5835,1960,2680,1469,1.5,6,3,1,1,1,0,1,0,293.8
1980,1900,1502,690,1,3,1,1,0,1,0,1,0,167.6
3402,1924,2057,1350,2,6,3,1,1,1,0,1,0,253.3
3850,1910,1816,1152,2,6,2,1,0,1,0,1,0,269.3
7200,1909,2370,1364,2,5,2,1,1,1,0,1,0,310.2
3360,1957,2160,1008,1,6,3,1,0,1,1,1,0,217.9
4291,1990,2815,1684,2,6,3,1,1,1,0,1,0,395
6514,1960,2118,1380,2,8,3,1,1,1,0,1,0,298.5
9604,2006,3960,2455,2,8,4,2,1,1,1,1,0,561.8
3205,1924,2117,1061,1.5,6,3,1,0,1,0,1,0,220
7622,1940,2896,1510,1.5,6,3,1,1,1,1,1,0,334.4
7796,1962,2760,1469,1.5,7,3,2,0,1,0,1,0,331.2
6750,1950,2336,1140,1,7,2,2,0,1,2,1,0,311.9
3628,1950,2232,1056,1,5,2,1,0,1,1,0,1,286.3
13209,1950,2304,1075,1,6,3,1,1,1,1,1,0,311.9
1017,1920,1293,797,1.5,5,2,1,0,1,0,1,0,144.6
5602,1960,2643,1469,1.5,6,2,1,1,1,0,1,0,292.5
3360,1950,2409,1008,1,6,3,2,1,1,1,1,0,233.7
6000,1960,2116,1726,1,6,4,2,0,2,0,1,0,287.8
5958,1960,2431,1560,2,6,3,1,1,1,0,1,0,309.5
4343,1959,2064,912,1,6,3,2,0,1,1,1,0,278.4
3850,1905,1832,1188,2,5,2,1,1,1,0,1,0,222.4
6539,1943,3045,1712,1.5,8,1,1,0,1,1,0,1,319.9
6021,1969,2092,1016,1,6,3,2,0,1,1,1,0,306.5
3728,1920,1698,936,1.5,6,3,1,0,1,0,1,0,240.9
5013,1900,2339,1497,2,6,3,1,0,1,0,1,0,270.7
3486,1960,2344,1713,1,8,4,2,0,1,1,1,0,314.2
6000,1967,1984,968,1,6,3,2,0,2,1,1,0,306.5
5981,1950,3434,2369,2,9,4,2,0,1,1,0,1,402.5
12853,1950,2329,1625,2,7,4,2,0,1,1,0,1,358.4
6794,1959,2260,1577,1,8,3,1,1,1,0,1,0,309.1
4311,1950,2972,1529,1.5,6,3,1,1,1,1,1,0,348.9
8323,1960,2116,1966,1,8,4,1,1,2,0,1,0,331.3
7682,2005,4184,2724,2,8,4,2,1,1,1,1,0,562
3780,1950,2412,1008,1,6,2,2,0,1,1,1,0,246.4
5931,1961,2912,1533,1.5,8,3,1,1,1,0,1,0,298
6750,1950,2344,1000,1,5,2,1,0,1,1,1,0,287.2
6540,1945,2304,1075,1,6,3,1,0,1,1,1,0,279.4
13051,1942,2324,1075,1,6,3,1,0,1,1,1,0,308.9
4200,1955,2428,1075,1,7,3,1,0,1,1,1,0,273.6
4117,1992,2744,2079,2,7,3,2,0,1,1,1,0,400.8
6000,1960,2244,2134,1,7,3,1,1,1,0,1,0,338
4486,1950,2612,1378,1.5,6,3,1,1,1,1,1,0,294.3
6057,1960,2636,1966,1,6,3,1,0,1,0,0,1,357.7
4386,1950,2504,1313,1.5,7,3,2,0,1,0,1,0,319.1
2436,1920,2476,1265,1.5,5,3,1,0,1,0,1,0,206
4603,1910,2531,1426,2,7,3,1,1,1,0,0,0,282.1
5401,1960,2016,968,1,5,3,1,0,1,1,1,0,282.4
5110,1950,2412,1306,1.5,6,3,1,1,1,1,1,0,293.9
5981,1940,2504,1506,1.5,7,3,1,0,1,1,1,0,322.4
13250,1950,2508,1075,1,6,3,1,1,1,1,1,0,337.2
4288,1965,2368,1368,2,9,4,1,1,1,1,1,0,313.7
4200,1955,2164,1200,2,6,3,1,1,1,1,1,0,280.2
5975,1955,2628,1469,1.5,7,3,2,0,1,0,1,0,297.8
5604,2008,3526,2118,2,8,4,2,1,1,0,1,0,474.4
5301,1910,3714,2428,2,9,5,2,0,1,0,1,0,269
4998,1959,2203,1589,1,7,3,1,1,1,2,1,0,313.6
7163,1965,2116,1487,1,7,3,1,1,1,0,1,0,322.1
4200,1920,2296,990,1,5,3,1,0,1,1,1,0,204.9
9021,2005,4065,2605,2,8,4,2,1,1,1,1,0,563.1
4696,1965,2184,1368,2,7,4,1,1,1,1,1,0,313.1
6000,1960,2212,1538,1,8,3,1,1,1,0,1,0,282.5
6047,1950,2568,1490,1.5,7,3,2,0,1,1,0,1,337
13494,1950,2340,1306,1.5,6,3,2,0,1,1,1,0,331.2
6000,1960,2140,1966,1,7,3,2,0,1,0,1,0,311.1
5998,1960,2184,1726,1,8,4,2,0,1,0,0,1,355.9
6725,1964,2064,1372,2,6,3,1,1,1,1,1,0,315
3624,1910,821,600,1,5,2,1,0,1,0,1,0,177.4
6000,1960,2212,1692,1,7,3,1,1,1,0,1,0,298.1
3603,1930,3063,1612,2,5,2,1,0,1,0,0,1,331
14065,1940,2424,1306,1.5,9,3,2,1,1,1,0,1,396.8
5050,1900,3502,1842,2,9,3,1,1,1,0,0,1,349.3
9733,1920,2902,1377,1.5,6,3,2,0,1,0,1,0,338.2
4200,1955,2000,1200,2,6,3,1,1,1,1,1,0,276.6
4200,1960,1940,970,1,7,3,1,1,1,1,1,0,255
4759,1959,1989,918,1,5,3,1,1,1,1,1,0,277.7
4269,1960,2236,1368,2,6,4,1,1,1,1,1,0,347.9
8247,1940,3210,1980,2,7,3,1,0,1,1,0,1,440.2
7939,1964,2136,1726,1,9,4,1,1,1,0,1,0,357.3
8317,2005,4133,2605,2,8,4,2,1,1,1,1,0,558.8
3861,1965,2191,1369,2,7,4,1,1,1,1,1,0,305
4265,1900,2307,1350,2,6,3,1,1,1,0,0,1,322.4
997,1910,1319,504,1,4,2,1,0,1,0,1,0,105
6074,1965,2668,2014,1,8,3,2,0,2,1,0,1,380.6
14707,1942,3057,1529,1.5,7,4,2,0,1,1,1,0,350.1
5975,1960,2326,1380,2,7,3,1,1,1,0,1,0,302.8
6465,1960,1948,1404,1,5,3,1,1,1,1,1,0,310.7
6000,1960,2212,1692,1,7,3,1,1,1,0,1,0,290.2
6047,1957,2486,1387,1.5,6,3,2,0,1,1,0,1,320.2
8104,1955,3202,1492,1,5,3,1,1,1,1,1,0,313.6
4411,1960,2284,1558,1,7,3,1,1,1,2,1,0,320
5823,1963,2100,1320,2,6,3,1,1,1,0,1,0,282.2
5277,1959,2092,952,1,7,3,1,1,1,1,1,0,287.4
4200,1960,3870,1953,1.5,7,3,1,1,2,0,1,0,336.6
6100,1960,2184,1583,1,8,3,1,1,1,0,1,0,307.2
4749,1961,1953,1404,1,7,3,1,1,1,1,1,0,277
10050,1942,3104,1706,2,8,3,1,2,1,1,1,0,347.2
4435,1900,2823,1637,2,7,4,1,1,1,0,1,0,201
9747,1960,2100,1726,1,9,4,2,0,2,0,0,0,353.5
9730,1992,2776,2188,1,8,3,2,0,2,0,1,0,423.4
6022,1961,3246,1679,1.5,7,3,1,1,1,0,1,0,323.5
6864,2005,5122,3108,2,8,4,2,1,1,1,1,0,576
6271,1961,1530,1360,1,8,4,2,0,1,1,1,0,301.1
7550,1943,2623,1306,1.5,6,3,1,0,1,1,0,1,374
5975,1955,2736,1469,1.5,7,3,1,1,1,0,1,0,300
5999,1960,2556,1966,1,7,3,1,1,1,0,1,0,348.8
5742,1960,2120,1320,2,7,3,1,1,1,0,1,0,308.6
8088,1967,2240,1726,1,8,3,2,0,1,0,1,0,320.9
4880,1960,2556,1354,1.5,6,3,2,0,1,1,0,0,326.8
6710,1925,3196,1786,2,7,3,2,0,1,0,0,1,354.4
7045,1920,2697,1378,1.5,6,3,1,1,1,0,1,0,265.3
2700,1990,2448,1536,2,8,3,2,1,1,1,1,0,376.2
4659,1950,1984,1404,1,5,3,1,0,1,1,1,0,296.9
7270,1920,2210,1326,2,7,3,1,1,1,0,1,0,252.985
5273,1943,2769,1734,2,7,5,2,0,1,1,0,1,339.1
4949,1960,2088,1726,1,6,3,2,0,1,0,0,1,299.4
5204,1965,2508,1402,1.5,6,3,1,1,1,1,1,0,323.5
5918,1988,2574,1930,1,8,4,2,0,2,0,1,0,359.3
5376,1920,2156,1370,2,7,4,1,1,1,0,0,1,361.7
2410,1950,2535,1632,2,7,3,2,0,1,0,1,0,256.4
3248,1920,1620,1270,2,6,3,1,0,1,0,1,0,236.7
4270,1920,2017,1232,2,6,3,1,0,1,0,1,0,250.3
5941,1962,2712,1469,1.5,7,3,2,0,1,0,0,1,340.7
5939,1957,3160,1609,1.5,7,3,1,1,1,0,1,0,312.5
6100,1960,2076,1701,1,7,3,1,1,1,0,1,0,287.4
6000,1967,2425,1151,1,7,3,1,1,1,1,1,0,320.8
6043,1957,2628,1536,1.5,7,4,1,0,1,1,1,0,329.4
10067,1960,2238,1726,1,8,4,1,1,1,0,1,0,307.4
10030,1950,2344,1275,1.5,6,3,1,0,1,1,1,0,327
6756,1996,2604,1680,2,7,3,2,0,1,1,1,0,406.9
5246,1940,2568,1360,1.5,6,3,2,0,1,1,1,0,270.4
6076,1940,2264,1320,2,6,3,1,1,1,1,1,0,278.6
5671,1958,3412,2010,2,9,4,2,0,1,1,0,0,392
4407,1960,1968,1404,1,6,3,1,1,1,0,1,0,310.7
4514,1959,2140,1404,1,5,3,1,1,1,1,1,0,283
5885,1988,2418,1930,1,9,4,2,0,2,0,1,0,353.5
6043,1964,2244,1641,1,8,3,2,0,1,0,1,0,302.3
5518,2003,2500,1560,2,6,3,1,1,1,0,1,0,424.9
5441,1960,2416,1726,1,8,4,2,0,1,1,0,1,348.3
9351,1960,2296,1247,1,7,4,1,1,1,0,1,0,354.3
5151,1962,2652,1469,1.5,7,3,2,0,1,0,1,0,297.9
6042,1954,2840,1550,1.5,7,3,1,0,1,1,1,0,327.2
6877,1963,2240,1808,1,6,3,1,1,1,0,1,0,306.1
5965,1963,2998,1637,1.5,8,3,3,0,1,1,0,0,428.2
5662,1961,2805,1750,2,7,4,2,0,1,1,0,1,366.3
5273,1950,2448,1306,1.5,6,2,1,0,1,1,1,0,263.1
5775,1988,2906,1469,1.5,8,3,3,0,1,0,1,0,388.7
5715,1960,2540,1940,2,6,3,1,1,1,1,1,0,313.6
4473,1960,1961,1404,1,7,4,1,1,1,0,1,0,263
4410,1961,1964,1404,1,7,3,1,1,1,0,1,0,241.3
6194,1950,2816,1311,1,5,2,1,0,1,1,1,0,326
6200,1963,2067,1726,1,6,3,2,0,1,0,0,0,301
5246,1945,2488,1306,1.5,7,4,2,0,1,1,1,0,272.6
6000,1967,2166,1726,1,6,3,1,1,1,0,1,0,301.6
7128,1960,2156,1726,1,6,2,2,0,1,0,1,0,366.8
5981,1960,2364,1320,2,6,3,1,1,1,0,1,0,311
6000,1960,2116,1726,1,5,3,1,1,1,0,1,0,282.5
5658,1964,2640,1464,1.5,7,3,1,1,1,0,1,0,301.2
5963,1963,2592,1469,1.5,6,3,2,0,1,1,1,0,298.8
6197,1963,2294,2059,1,6,3,1,0,1,1,1,0,317.8
